n,generations,population_size,selection_type,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,100,100,elitist,scramble,0.8000000000000002,pmx,0.6000000000000001,7119.75,6473.75,0.0049,0.0013,646.0,9.97876037845144,0.26294040603751745
5,100,100,elitist,scramble,0.4,pmx,0.8000000000000002,6880.25,6473.75,0.0061,0.0013,406.5,6.279204479629271,0.21010308261405672
5,100,100,elitist,scramble,0.6000000000000001,pmx,0.8000000000000002,6860.25,6473.75,0.0063,0.0013,386.5,5.970264529832008,0.20417116752789635
5,100,100,elitist,scramble,0.8000000000000002,pmx,0.8000000000000002,6880.25,6473.75,0.0057,0.0013,406.5,6.279204479629271,0.22791319177395084
5,100,100,elitist,scramble,0.4,order,0.4,7217.25,6473.75,0.0044,0.0013,743.5,11.484842633713072,0.2913644971678957
5,100,100,elitist,scramble,0.6000000000000001,order,0.4,7184.25,6473.75,0.0042,0.0013,710.5,10.975091716547595,0.30287147697605954
5,100,100,elitist,scramble,0.8000000000000002,order,0.4,7397.75,6473.75,0.0041,0.0013,924.0,14.273025680633324,0.3148331427911542
5,100,100,elitist,scramble,0.4,order,0.6000000000000001,6965.25,6473.75,0.0053,0.0013,491.5,7.592199266267613,0.24522577917697322
5,100,100,elitist,scramble,0.6000000000000001,order,0.6000000000000001,7217.25,6473.75,0.0052,0.0013,743.5,11.484842633713072,0.24872708694462184
5,100,100,elitist,scramble,0.8000000000000002,order,0.6000000000000001,7217.25,6473.75,0.0048,0.0013,743.5,11.484842633713072,0.26929055709205846
5,100,100,elitist,scramble,0.4,order,0.8000000000000002,6857.75,6473.75,0.0062,0.0013,384.0,5.93164703610735,0.2082414909868622
5,100,100,elitist,scramble,0.6000000000000001,order,0.8000000000000002,6929.25,6473.75,0.0058,0.0013,455.5,7.036107356632556,0.22207450006109233
5,100,100,elitist,scramble,0.8000000000000002,order,0.8000000000000002,7109.75,6473.75,0.0056,0.0013,636.0,9.824290403552808,0.22889866924142563
5,100,100,elitist,reverse,0.4,pmx,0.4,7253.75,6473.75,0.0044,0.0013,780.0,12.048658042093066,0.2954215311264019
5,100,100,elitist,reverse,0.6000000000000001,pmx,0.4,7253.75,6473.75,0.0042,0.0013,780.0,12.048658042093066,0.3059989449464055
5,100,100,elitist,reverse,0.8000000000000002,pmx,0.4,7184.25,6473.75,0.0039,0.0013,710.5,10.975091716547595,0.3318278481012658
5,100,100,elitist,reverse,0.4,pmx,0.6000000000000001,7168.25,6473.75,0.0055,0.0013,694.5,10.727939756709787,0.23297706374978636
5,100,100,elitist,reverse,0.6000000000000001,pmx,0.6000000000000001,6880.25,6473.75,0.0052,0.0013,406.5,6.279204479629271,0.2463002619929533
5,100,100,elitist,reverse,0.8000000000000002,pmx,0.6000000000000001,6880.25,6473.75,0.0051,0.0013,406.5,6.279204479629271,0.2509709656632606
5,100,100,elitist,reverse,0.4,pmx,0.8000000000000002,6857.75,6473.75,0.0062,0.0013,384.0,5.93164703610735,0.20705533530796688
5,100,100,elitist,reverse,0.6000000000000001,pmx,0.8000000000000002,6801.75,6473.75,0.0060,0.0013,328.0,5.066615176675029,0.21544095776206093
5,100,100,elitist,reverse,0.8000000000000002,pmx,0.8000000000000002,6880.25,6473.75,0.0058,0.0013,406.5,6.279204479629271,0.2237696556818648
5,100,100,elitist,reverse,0.4,order,0.4,7323.75,6473.75,0.0044,0.0013,850.0,13.129947866383475,0.29099131177286797
5,100,100,elitist,reverse,0.6000000000000001,order,0.4,7289.75,6473.75,0.0044,0.0013,816.0,12.604749951728138,0.29451200172842174
5,100,100,elitist,reverse,0.8000000000000002,order,0.4,7349.25,6473.75,0.0040,0.0013,875.5,13.523846302374977,0.31965032242935865
5,100,100,elitist,reverse,0.4,order,0.6000000000000001,7217.25,6473.75,0.0061,0.0013,743.5,11.484842633713072,0.2119570534499514
5,100,100,elitist,reverse,0.6000000000000001,order,0.6000000000000001,7119.75,6473.75,0.0149,0.0013,646.0,9.97876037845144,0.08684274133180435
5,100,100,elitist,reverse,0.8000000000000002,order,0.6000000000000001,7119.75,6473.75,0.0048,0.0013,646.0,9.97876037845144,0.2706002580645161
5,100,100,elitist,reverse,0.4,order,0.8000000000000002,6929.25,6473.75,0.0063,0.0013,455.5,7.036107356632556,0.20386581918791594
5,100,100,elitist,reverse,0.6000000000000001,order,0.8000000000000002,6857.75,6473.75,0.0060,0.0013,384.0,5.93164703610735,0.21635565431314974
5,100,100,elitist,reverse,0.8000000000000002,order,0.8000000000000002,6860.25,6473.75,0.0057,0.0013,386.5,5.970264529832008,0.22771330966798914
5,100,200,elitist,swap,0.4,pmx,0.4,7217.25,6473.75,0.0095,0.0013,743.5,11.484842633713072,0.1364001300813008
5,100,200,elitist,swap,0.6000000000000001,pmx,0.4,7253.75,6473.75,0.0083,0.0013,780.0,12.048658042093066,0.15620348927149283
5,100,200,elitist,swap,0.8000000000000002,pmx,0.4,7168.25,6473.75,0.0082,0.0013,694.5,10.727939756709787,0.15678739396727723
5,100,200,elitist,swap,0.4,pmx,0.6000000000000001,7109.75,6473.75,0.0130,0.0013,636.0,9.824290403552808,0.09974563614744351
5,100,200,elitist,swap,0.6000000000000001,pmx,0.6000000000000001,7029.75,6473.75,0.0140,0.0013,556.0,8.588530604363783,0.09263510983503508
5,100,200,elitist,swap,0.8000000000000002,pmx,0.6000000000000001,7119.75,6473.75,0.0119,0.0013,646.0,9.97876037845144,0.10907153687663779
5,100,200,elitist,swap,0.4,pmx,0.8000000000000002,6801.75,6473.75,0.0137,0.0013,328.0,5.066615176675029,0.09456624637957647
5,100,200,elitist,swap,0.6000000000000001,pmx,0.8000000000000002,6929.25,6473.75,0.0133,0.0013,455.5,7.036107356632556,0.0975297404618384
5,100,200,elitist,swap,0.8000000000000002,pmx,0.8000000000000002,6880.25,6473.75,0.0123,0.0013,406.5,6.279204479629271,0.10520964766719407
5,100,200,elitist,swap,0.4,order,0.4,7325.75,6473.75,0.0099,0.0013,852.0,13.160841861363195,0.13096810703048062
5,100,200,elitist,swap,0.6000000000000001,order,0.4,7253.75,6473.75,0.0095,0.0013,780.0,12.048658042093066,0.13596138041093156
5,100,200,elitist,swap,0.8000000000000002,order,0.4,7325.75,6473.75,0.0109,0.0013,852.0,13.160841861363195,0.11857334348157007
5,100,200,elitist,swap,0.4,order,0.6000000000000001,7168.25,6473.75,0.0118,0.0013,694.5,10.727939756709787,0.1095888895588383
5,100,200,elitist,swap,0.6000000000000001,order,0.6000000000000001,7168.25,6473.75,0.0121,0.0013,694.5,10.727939756709787,0.10726276114411613
5,100,200,elitist,swap,0.8000000000000002,order,0.6000000000000001,7119.75,6473.75,0.0122,0.0013,646.0,9.97876037845144,0.10620973158284311
