n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,500,100,reverse,0.2,order,0.4,6581.75,6473.75,0.1187,0.0013,108.0,1.6682757289052006,0.010950965435520476
5,500,100,reverse,0.4,order,0.4,6496.25,6473.75,0.1439,0.0013,22.5,0.3475574435219215,0.00903272464627623
5,500,100,reverse,0.5,order,0.4,6656.25,6473.75,0.1512,0.0013,182.5,2.8190770418999875,0.008592934768904914
5,500,100,reverse,0.2,order,0.6,7869.75,6473.75,0.1613,0.0013,1396.0,21.564008495848626,0.008054994896007067
5,500,100,reverse,0.4,order,0.6,6801.75,6473.75,0.1879,0.0013,328.0,5.066615176675029,0.006918088471322629
5,500,100,reverse,0.5,order,0.6,6880.25,6473.75,0.2018,0.0013,406.5,6.279204479629271,0.0064419194162736405
5,500,100,reverse,0.2,order,0.8,7089.75,6473.75,0.2095,0.0013,616.0,9.515350453755545,0.006202566071389976
5,500,100,reverse,0.4,order,0.8,7557.75,6473.75,0.2389,0.0013,1084.0,16.74454527901139,0.00543967054279033
5,500,100,reverse,0.5,order,0.8,6640.25,6473.75,0.2552,0.0013,166.5,2.5719250820621795,0.005093431852893233
5,500,50,swap,0.2,pmx,0.4,5870.0,5861.0,0.0598,0.0011,9.0,0.15355741341068097,0.018389617678007716
5,500,50,swap,0.4,pmx,0.4,5932.5,5861.0,0.0667,0.0011,71.5,1.2199283398737464,0.016475857586687143
5,500,50,swap,0.5,pmx,0.4,6762.0,5861.0,0.0732,0.0011,901.0,15.372803275891485,0.015026346146956616
5,500,50,swap,0.2,pmx,0.6,5861.0,5861.0,0.0810,0.0011,0.0,0.0,0.013567412809504206
5,500,50,swap,0.4,pmx,0.6,5958.0,5861.0,0.0948,0.0011,97.0,1.655007677870671,0.011597338541627391
5,500,50,swap,0.5,pmx,0.6,5997.0,5861.0,0.0989,0.0011,136.0,2.320423135983617,0.01111411144621848
5,500,50,swap,0.2,pmx,0.8,5861.0,5861.0,0.1023,0.0011,0.0,0.0,0.01074418199558937
